 mass A  
t x y 
4.524679E1 3.141967E2 -4.141374E2
4.528021E1 3.543207E2 -3.850196E2
4.531363E1 3.775709E2 -3.572516E2
4.534704E1 3.893117E2 -3.543044E2
4.538046E1 3.990417E2 -3.442172E2
4.541388E1 4.022049E2 -3.403370E2
4.544730E1 3.987850E2 -3.442399E2
4.548071E1 3.884174E2 -3.544176E2
4.551413E1 3.680670E2 -3.686396E2
4.554755E1 3.462694E2 -3.938950E2
4.558096E1 3.140220E2 -4.186649E2
4.561438E1 2.713357E2 -4.408326E2
4.564780E1 2.236812E2 -4.668532E2
4.568122E1 1.668720E2 -4.906185E2
4.571463E1 1.061129E2 -5.085289E2
4.574805E1 4.133336E1 -5.182689E2
4.578147E1 -2.127257E1 -5.200735E2
4.581488E1 -8.633896E1 -5.140979E2
4.584830E1 -1.474689E2 -5.004451E2
4.588172E1 -1.990676E2 -4.822545E2
4.591514E1 -2.466806E2 -4.603567E2
4.594855E1 -2.875406E2 -4.355004E2
4.598197E1 -3.201374E2 -4.105159E2
4.601539E1 -3.447528E2 -3.877634E2
4.604880E1 -3.624487E2 -3.696875E2
4.608222E1 -3.744948E2 -3.566183E2
4.611564E1 -3.766135E2 -3.476119E2
4.614906E1 -3.759414E2 -3.476217E2
4.618247E1 -3.704191E2 -3.555814E2
4.621589E1 -3.585172E2 -3.696316E2
4.624931E1 -3.398469E2 -3.884385E2
4.628272E1 -3.151622E2 -4.120731E2
4.631614E1 -2.808484E2 -4.354198E2
4.634956E1 -2.409035E2 -4.593022E2
4.638298E1 -1.944763E2 -4.815057E2
4.641639E1 -1.487230E2 -4.994236E2
4.644981E1 -9.042545E1 -5.128182E2
4.648323E1 -2.752117E1 -5.194318E2
4.651664E1 3.481689E1 -5.185110E2
4.655006E1 9.655706E1 -5.109441E2
4.658348E1 1.561053E2 -4.947943E2
4.661690E1 2.073166E2 -4.745596E2
4.665031E1 2.611937E2 -4.475249E2
4.668373E1 2.965106E2 -4.245686E2
4.671715E1 3.356054E2 -4.044539E2
4.675056E1 3.696959E2 -3.749963E2
4.678398E1 3.814016E2 -3.633068E2
4.681740E1 3.927146E2 -3.503322E2
4.685082E1 3.985763E2 -3.449650E2
4.688423E1 3.973847E2 -3.457557E2
4.691765E1 3.896242E2 -3.535197E2
4.695107E1 3.750040E2 -3.689149E2
4.698448E1 3.529852E2 -3.889655E2
4.701790E1 3.231876E2 -4.122571E2
4.705132E1 2.830496E2 -4.345946E2
4.708474E1 2.404833E2 -4.588203E2
4.711815E1 1.855738E2 -4.844412E2
4.715157E1 1.260078E2 -5.028723E2
4.718499E1 6.511453E1 -5.149173E2
4.721840E1 -1.275786E0 -5.204234E2
4.725182E1 -6.299873E1 -5.167564E2
4.728524E1 -1.232511E2 -5.054116E2
4.731865E1 -1.789401E2 -4.886571E2
4.735207E1 -2.290999E2 -4.689673E2
4.738549E1 -2.719960E2 -4.455484E2
4.741891E1 -3.071289E2 -4.209796E2
4.745232E1 -3.343795E2 -3.979008E2
4.748574E1 -3.545871E2 -3.785526E2
4.751916E1 -3.655391E2 -3.616604E2
4.755257E1 -3.729972E2 -3.522522E2
4.758599E1 -3.743523E2 -3.507521E2
4.761941E1 -3.707001E2 -3.555993E2
4.765283E1 -3.608125E2 -3.674487E2
4.768624E1 -3.439779E2 -3.842729E2
4.771966E1 -3.207127E2 -4.054663E2
4.775308E1 -2.908924E2 -4.292107E2
4.778649E1 -2.538616E2 -4.535140E2
4.781991E1 -2.095043E2 -4.747765E2
4.785333E1 -1.641131E2 -4.939144E2
4.788675E1 -1.092036E2 -5.089203E2
4.792016E1 -4.780982E1 -5.183400E2
4.795358E1 5.555716E0 -5.203301E2
4.798700E1 7.359467E1 -5.146478E2
4.802041E1 1.347564E2 -5.006966E2
4.805383E1 1.917054E2 -4.827459E2
4.808725E1 2.460724E2 -4.625953E2
4.812067E1 2.800219E2 -4.358787E2
4.815408E1 3.210117E2 -4.147569E2
4.818750E1 3.448748E2 -3.867200E2
4.822092E1 3.713962E2 -3.723845E2
4.825433E1 3.807493E2 -3.528515E2
4.828775E1 3.937286E2 -3.499319E2
4.832117E1 3.951035E2 -3.484890E2
4.835459E1 3.891927E2 -3.538311E2
4.838800E1 3.770999E2 -3.660749E2
4.842142E1 3.541980E2 -3.805205E2
4.845484E1 3.283837E2 -4.040939E2
4.848825E1 2.916508E2 -4.283187E2
4.852167E1 2.507891E2 -4.527778E2
4.855509E1 2.002518E2 -4.785994E2
4.858851E1 1.438825E2 -4.984713E2
4.862192E1 8.408621E1 -5.125909E2
4.865534E1 2.014438E1 -5.188970E2
4.868876E1 -4.315465E1 -5.185822E2
4.872217E1 -1.055267E2 -5.095070E2
4.875559E1 -1.608039E2 -4.948509E2
4.878901E1 -2.106580E2 -4.748055E2
4.882243E1 -2.564931E2 -4.545082E2
